team,date,symbol,position_type,entry_price,quantity,cost,close_price,market_value,position_status,exit_date,open_profit,profit_percentage,net_value,invested
70,04/11/2016,X,Long,$17.50,"2,500","$43,750",$18.96,"$47,400",Open,,"$3,650.00",8.34%,"$1,003,650","$47,400.00"
70,4/15/2016,TSN,Long,$65.48,"10,000","$654,788",$65.03,"$650,300",CLOSE,4/29/2016,"-$4,488.00",-0.69%,"$999,162",$0.00
70,4/25/2016,TPUB,Long,$11.80,350,"$4,130",$11.01,"$3,854",CLOSE,05/04/2016,-$276.50,-6.69%,"$998,886",$0.00
70,4/18/2016,TCK,Long,$9.79,"1,500","$14,685",$10.46,"$15,690",Open,,"$1,005.00",6.84%,"$999,891","$15,690.00"
70,4/20/2016,SUNE(E),Long,$0.35,"10,000",$0,$0.00,$0,Open,,$0.00,0.00%,"$999,891",$0.00
70,4/19/2016,SDRL,Long,$4.28,"10,000","$42,800",$4.28,"$42,800",CLOSE,4/20/2016,$0.00,0.00%,"$999,891",$0.00
70,4/25/2016,SDRL,Long,$3.87,"10,000","$38,700",$3.93,"$39,300",Open,,$600.00,1.55%,"$1,000,491","$39,300.00"
70,04/11/2016,NBL,Long,$32.40,"4,000","$129,602",$35.62,"$142,480",Open,,"$12,878.00",9.94%,"$1,013,369","$142,480.00"
70,4/29/2016,MZOR,Long,$12.14,"2,000","$24,280",$11.14,"$22,280",Open,,"-$2,000.00",-8.24%,"$1,011,369","$22,280.00"
70,05/06/2016,MZOR,Long,$11.27,"5,000","$56,350",$11.14,"$55,700",Open,,-$650.00,-1.15%,"$1,010,719","$55,700.00"
70,4/29/2016,MZOR,Long,$11.89,"1,000","$11,890",$11.14,"$11,140",Open,,-$750.00,-6.31%,"$1,009,969","$11,140.00"
70,4/28/2016,MZOR,Long,$12.25,"2,000","$24,500",$11.14,"$22,280",Open,,"-$2,220.00",-9.06%,"$1,007,749","$22,280.00"
70,4/19/2016,MZOR,Short,$11.87,"7,000","$83,110",$12.17,"$85,190",CLOSE,4/28/2016,"-$2,079.98",-2.50%,"$1,005,669",$0.00
70,04/11/2016,MZOR,Long,$11.23,"2,000","$22,460",$11.90,"$23,800",CLOSE,4/19/2016,"$1,340.00",5.97%,"$1,007,009",$0.00
70,04/11/2016,KGC,Long,$4.18,"2,500","$10,450",$5.63,"$14,075",CLOSE,05/06/2016,"$3,625.00",34.69%,"$1,010,634",$0.00
70,4/21/2016,JCI,Long,$41.68,500,"$20,840",$40.79,"$20,395",Open,,-$445.00,-2.14%,"$1,010,189","$20,395.00"
70,05/02/2016,INTC,Long,$30.57,700,"$21,399",$30.01,"$21,007",Open,,-$392.00,-1.83%,"$1,009,797","$21,007.00"
70,05/02/2016,GNW,Long,$3.94,"2,000","$7,880",$3.85,"$7,700",Open,,-$180.00,-2.28%,"$1,009,617","$7,700.00"
70,04/11/2016,HTS,Long,$15.80,"2,500","$39,500",$15.80,"$39,500",CLOSE,4/25/2016,$0.00,0.00%,"$1,009,617",$0.00
70,04/11/2016,GLF,Long,$5.14,"1,000","$5,140",$5.30,"$5,300",Open,,$160.00,3.11%,"$1,009,777","$5,300.00"
70,05/04/2016,EW,Long,$103.96,450,"$46,782",$105.85,"$47,633",Open,,$850.50,1.82%,"$1,010,627","$47,632.50"
70,4/29/2016,EW,Long,$106.03,"1,500","$159,045",$105.85,"$158,775",Open,,-$270.00,-0.17%,"$1,010,357","$158,775.00"
70,4/29/2016,EW,Long,$106.79,"3,000","$320,370",$105.85,"$317,550",Open,,"-$2,820.00",-0.88%,"$1,007,537","$317,550.00"
70,4/28/2016,EW,Long,$107.25,500,"$53,625",$105.85,"$52,925",Open,,-$700.00,-1.31%,"$1,006,837","$52,925.00"
70,4/21/2016,EW,Long,$107.90,500,"$53,950",$108.20,"$54,100",CLOSE,4/25/2016,$150.00,0.28%,"$1,006,987",$0.00
70,04/11/2016,ETE,Long,$8.52,"3,000","$25,560",$11.94,"$35,820",CLOSE,05/02/2016,"$10,260.00",40.14%,"$1,017,247",$0.00
70,04/11/2016,ENZY,Long,$8.67,"2,000","$17,340",$8.49,"$16,980",CLOSE,05/04/2016,-$360.00,-2.08%,"$1,016,887",$0.00
70,4/25/2016,ENZY,Long,$8.58,"2,000","$17,160",$8.49,"$16,980",CLOSE,05/04/2016,-$180.00,-1.05%,"$1,016,707",$0.00
70,04/11/2016,EGO,Long,$3.70,"2,500","$9,250",$4.11,"$10,275",CLOSE,05/06/2016,"$1,025.00",11.08%,"$1,017,732",$0.00
70,04/11/2016,DNR,Long,$2.55,"2,000","$5,100",$3.72,"$7,440",Open,,"$2,340.00",45.88%,"$1,020,072","$7,440.00"
70,04/11/2016,DNP,Long,$10.17,"2,000","$20,340",$10.16,"$20,320",CLOSE,4/19/2016,-$20.00,-0.10%,"$1,020,052",$0.00
70,4/18/2016,CVT,Long,$35.26,"2,000","$70,520",$35.26,"$70,520",CLOSE,4/19/2016,$0.00,0.00%,"$1,020,052",$0.00
70,04/11/2016,CSTE,Long,$34.35,"2,000","$68,694",$38.43,"$76,860",Open,,"$8,166.00",11.89%,"$1,028,218","$76,860.00"
70,04/19/2016,CRC,Long,$1.78,"10,000","$17,800",$1.83,"$18,300",Open,,$500.00,2.81%,"$1,028,718","$18,300.00"
70,4/20/2016,CPE,Long,$10.00,"4,000","$40,000",$10.38,"$41,520",Open,,"$1,520.00",3.80%,"$1,030,238","$41,520.00"
70,04/11/2016,CLF,Long,$3.42,"2,500","$8,550",$3.62,"$9,050",Open,,$500.00,5.85%,"$1,030,738","$9,050.00"
70,04/11/2016,CIG,Long,$2.13,"3,000","$6,390",$2.04,"$6,120",CLOSE,4/28/2016,-$270.00,-4.23%,"$1,030,468",$0.00
70,05/02/2016,CIG,Long,$1.89,"3,000","$5,670",$1.72,"$5,160",Open,,-$510.00,-8.99%,"$1,029,958","$5,160.00"
70,4/18/2016,CHMA,Short,$3.95,"2,000","$7,900",$3.81,"$7,620",CLOSE,4/21/2016,$280.00,3.54%,"$1,030,238",$0.00
70,4/18/2016,BOFI,Long,$18.94,"2,000","$37,888",$18.87,"$37,740",CLOSE,4/20/2016,-$148.00,-0.39%,"$1,030,090",$0.00
70,4/19/2016,BOFI,Long,$18.77,"4,000","$75,080",$18.87,"$75,480",CLOSE,4/20/2016,$400.00,0.53%,"$1,030,490",$0.00
70,4/20/2016,BCEI,Long,$3.00,"4,000","$12,000",$3.46,"$13,840",Open,,"$1,840.00",15.33%,"$1,032,330","$13,840.00"
70,04/11/2016,BAC,Long,$13.06,"2,000","$26,120",$14.09,"$28,180",Open,,"$2,060.00",7.89%,"$1,034,390","$28,180.00"
70,4/15/2016,AUY,Long,$4.04,"10,000","$40,400",$4.71,"$47,100",CLOSE,05/06/2016,"$6,700.00",16.58%,"$1,041,090",$0.00
70,4/20/2016,ALR(E),Long,$43.16,"4,000","$172,640",$39.66,"$158,640",Open,,"-$14,000.00",-8.11%,"$1,027,090","$158,640.00"
70,4/29/2016,ALR(E),Long,$38.77,"4,000","$155,080",$39.66,"$158,640",Open,,"$3,560.00",2.30%,"$1,030,650","$158,640.00"
70,04/11/2016,ABX,Long,$16.15,"2,500","$40,375",$18.47,"$46,175",Open,,"$5,800.00",14.37%,"$1,036,450","$46,175.00"
